"BM Display","BM Tech Name","BM Data Type","BM CS Name","IMO Attribute","IMO Data Type"
"Participating Partner","participating_partner","Multi Select","PM_Partner_MPC","mpc_requestingpartner","integer"
"Project Details","project_details","SINGLE INPUTLINE","","mpc_projectdetails","Text - single-line"
"English Statement description","english_statement_description","Multiline Input Area","","mpc_eng_stat_desc","Text - single-line"
"French Statement Description","french_statement_description","Multiline Input Area","","mpc_fr_stat_desc","Text - single-line"
"Offer Start Date ","offer_start_date","Date Picker","","mpc_startdate","Date selector"
"Offer End Date","offer_end_date","Date Picker","","mpc_enddate","Date selector"
"Last posting date","last_posting_date","Date Picker","","mpc_lastpostingdate","Date selector"
"Business Rules for Contact Centre","mpc_businessrules","MULTILINE INPUT AREA","","mpc_businessrules","Text - multi-line"
"Restrictions & Eligibility","restrictions_eligibility","Multiline Input Area","","mpc_promotioninfo","Text - multi-line"
"Requestor","requestor","USER","","mpc_requestor","integer"
"Date of Request","mpc_date","DATE PICKER","","mpc_date","Date selector"
"Marcom Manager","marcom_manager","USER","","mpc_campaignmanager","integer"
"Elite Status Tiers","elite_status_tiers","MULTISELECT","PM_Elite_Status_Tiers","mpc_acccounter_altitude","integer"
"","","","","mpc_lkup_aero_mpcaltitudetiers_id",""
"Financial (Credit Card) Tiers","financial_credit_card_tiers","MultiSelect","PM_Financial_Credit_Card_Tiers","mpc_acccounter_financials","integer"
"","","","","mpc_lkup_aero_mpcfinancialtiers_id",""
"Does this MPC Qualify for EDQ? Everyday Qualifying","does_this_mpc_qualify_for_edq_everyday_qualifying","Single Select","","mpc_aero_mpceligibleedq","Dropdown list"
"Please select MPC Category","please_select_mpc_category","SINGLE SELECT","PM_mpc_category","mpc_category_id","integer"
"MPC Type","mpc_type","Single Select","PM_MPC_Type","mpc_typeofcode","Dropdown list"
"Points Offer Minimum","points_offer_minimum","Numbers","","mpc_mileagemin","integer"
"Points Offer Maximum","points_offer_maximum","Numbers","","mpc_mileagemaximum","integer"
"Who is the target audience(s)?","who_is_the_target_audiences","Multiline input area","","mpc_nnb_targeted","Dropdown list"
"Target code(s) Applicable","target_codes_applicable","SINGLE INPUTLINE","","mpc_nnb_target_regcode","Text - single-line"
"Audience Targeting Start Date","mpc_audience_tgtingstartdate","DATE PICKER","","mpc_audience_tgtingstartdate","Date selector"
"Audience Targeting End Date","mpc_audience_tgtingenddate","","","mpc_audience_tgtingenddate","Date selector"
"Participating Partner ","participating_partner","MULTISELECT","PM_Partner_MPC","mpc_participating_partners","integer"
"","","","","MPC_PARTNERCODES_CODE_ID",""
"Registration code(s) Applicable","mpc_nnb_regcode","MULTILINE INPUT AREA","","mpc_nnb_regcode","Text - single-line"
"Partner Location","partner_location","","","mpc_partnerlocation","Text - multi-line"
"Crediting Schedule ","crediting_schedule","Single Select","PM_Crediting_Schedule","mpc_creditingsched","Text - single-line"
"Crediting Method ","crediting_method","Single Select","PM_Crediting_method","mpc_crediting_methode","vargraphic, 200"
"Crediting Source","crediting_source","Single Select","PM_Crediting_source","mpc_creditingsource","Dropdown list"
"","","","","",""
"List Pull Due Date","list_pull_due_date","Date picker","","mpc_listpull_duedate","Date selector"
"Elgible Class(es)","eligible_classes","Multiselect","","mpc_booking_classes","Text - multi-line"
"Eligible Route(s)","Eligible Route(s)","Multiline Input Area","","mpc_eligibleroute","Text - multi-line"
"Booking or Book By Start Date","booking_or_book_by_start_date","Date Picker","","mpc_bookingstart_date","Date selector"
"Booking or Book By End Date","booking_or_book_by_end_date","Date Picker","","mpc_book_enddate","Date selector"
"Travel Start Date","travel_start_date","Date Picker","","mpc_traveling_startdate","Date selector"
"Travel End Date","travel_end_date","Date Picker","","mpc_traveling_enddate","Date selector"
"Registration Start Date","registration_start_date","Date Picker","","mpc_reg_startdate","Date selector"
"Registration End Date","registration_end_date","Date Picker","","mpc_reg_endate","Date selector"
"Provide Instructions for the execution of the requirements","provide_instructions_for_the_execution_of_the_requirements","Multiline Input Area","","mpc_executionrequirement","Text - multi-line"
"Partner Type","partner_type","Single Inputline","PM_Partner_Type","mpc_partnertype","vargraphic, 200"
"Direct Marketing Partner Code","direct_marketing_partner_code","Single Inputline","","mpc_dmpartnercode","Dropdown list"
"Alliance Location Name","enalliance_location_name","Single Inputline","","mpc_alliance_location","Text - single-line"
"Contract Agreement Number","contract_agreement_number","Single Inputline","","mpc_contract_agreementnb","Text - single-line"
"Transaction Date","transaction_date","Date Picker","","mpc_transactiondate","Text - single-line"
"Promotional Item Code","promotional_item_code","Single Inputline","","mpc_promoitemcode","Text - single-line"
"MPC 4char Code","mpc_4char_code","Single Inputline","","mpc_mktgprogcode","Text - single-line"
"Redeemable Points","redeemable_points","Single Inputline","","mpc_activityamnt","Text - single-line"
"Partner Product Type Code","partner_product_type_code","Single Inputline","","mpc_partnerproduct_typecode","Text - single-line"
"Partner Reference","partner_reference","Single Inputline","","mpc_partner_reference","Text - single-line"
"File Sample","file_sample","Multiline Input Area","","mpc_filesample","Text - multi-line"
"MPC Creation Date in DM","mpc_creation_date_in_dm","Date Picker","","mpc_creation_date_in_dm","Date selector"
"Last MPC Modification Date in DM","last_mpc_modification_date_in_dm","Date Picker","","last_mpc_modification_date_in_dm","Date selector"
"File Naming Convention","file_naming_convention","Multiline Input Area","","mpc_filenamingconvention","Text - multi-line"
"File Path","file_path","Multiline Input Area","","mpc_filepath","Text - multi-line"
"Code Request Status","code_request_status","Single Select","PM_Code_Request_Status","mpc_requeststatus","vargraphic, 200"
"Activity Type","activity_type","Single Inputline","","activity_type","Text - single-line"
"Recurring","recurring","Single Select","PM_YN","recurring","Dropdown list"
"Frequency","frequency","Single Select","PM_Frequency","frequency","integer"
"First File Due Date","first_file_due_date","Date Picker","","first_file_due_date","Date selector"
"Last File Due Date","last_file_due_date","Date Picker","","last_file_due_date","Date selector"
"Start Date","start_date1","Date Picker","","mpc_billing_startdate","Date selector"
"End Date","end_date1","Date Picker","","mpc_billing_enddate","Date selector"
"Loyalty Partner Code","dm_partner_code","Single Select","PM_DM_Partner_Code","mpc_dmpartnercode","Dropdown list"
"Include / Exclude from Billing Threshold","include_exclude_from_billing_threshold","Single Select","PM_Include_Exclude_Billing_Threshold","mpc_billing_threshold","vargraphic, 200"
"Partner Billing Percentage","partner_billing_percentage","Single Inputline","","mpc_billingpercentage","Text - single-line"
"Partner Billing Value","partner_billing_value","Single Inputline","","mpc_billingvalue","Text - single-line"
"Billing Rate","billing_rate","Single Inputline","","mpc_billingrate","Money"
"Currency","currency","Single Select","PM_Currency","mpc_currency","Dropdown list"
"Billing Comment(s)","billing_comments","Multi Inputline","","mpc_billinginfocomment","Text - multi-line"
"Mileage Offer ","mileage_offer_","Single Select","PM_mpc_mileage_offer","mpc_cat_fixedoffer","vargraphic, 200"
"Number of fixed miles","number_of_fixed_miles","Single Inputline","","mpc_cat_nbfixedmiles","integer"
"Mileage Offer ","mileage_offer_","Single Select","PM_mpc_mileage_offer","mpc_cat_variablemiles","vargraphic, 200"
"Variable offer value","variable_offer_value","Single Inputline","","mpc_cat_variableoffervalue","Float"
"Unit of meassure","unit_of_meassure","Single Select","PM_unit_of_measure","mpc_cat_unitmeasure","vargraphic, 200"
"Mileage Offer ","mileage_offer_","Single Select","PM_mpc_mileage_offer","mpc_cat_combined","vargraphic, 200"
"Group","group","Single Select","PM_mpc_group","mpc_catgroup",""
"Sponsor","mpc_sponsor","Single Select","PM_mpc_sponsor","mpc_catsponsor",""
"Action","action","Single Select","PM_mpc_action","mpc_cataction",""
"Family","family","Single Select","PM_mpc_family","mpc_catfamily",""
"Context","context","Single Inputline","","mpc_catcontext",""
"Does the MPC qualify the Member as being active with the Aeroplan Partner?","does_mpc_qualify_the_member_as_being_active_as_the_aeroplan_partner","Single Select","PM_YN","mpc_cat_activewithpartner",""
"MPC_CAT_NBFLATMILES","MPC_CAT_NBFLATMILES","MULTILINE INPUT AREA","","MPC_CAT_NBFLATMILES",""
"MPC_CAT_FLATMILES","MPC_CAT_FLATMILES","MULTILINE INPUT AREA","","MPC_CAT_FLATMILES",""
"MPC_CAT_NBVARMILES","MPC_CAT_NBVARMILES","NUMBERS","","MPC_CAT_NBVARMILES",""
"MPC_CAT_VARMILES","mpc_cat_varmiles","NUMBERS","","MPC_CAT_VARMILES",""
"Due Date","due_date","DATE PICKER","","due_date","Date selector"
"Actual Delivery Date","actual_delivery_date","DATE PICKER","","scheduled_date","Date selector"
"Project Code (Legacy Only)","project_code_legacy_only","SINGLE INPUTLINE","","project_code","Text - single-line"
"Run Counts (Legacy Only)","run_counts_legacy_only","SINGLE INPUTLINE","","schedgrid_runcounts","integer"
"Reason (Legacy Only)","reason_legacy_only","SINGLE INPUTLINE","","schedgrid_reason","vargraphic, 200"
"Comments","comments","SINGLE INPUTLINE","","comments","Text - single-line"
"Currency Type","currency_type","Single Select ","PM_Currency_Type_MPC","mpc_aero_currencytype","integer"
"Currency Description","currency_description","Multiline Input","","mpc_currencydescr","integer"
"Currency Amount","currency_amount","Single lineinput","","mpc_othercurrencies_amnt","Text - single-line"
"Comment(s)","comments","Multiline Input","","mpc_othercurrencies_comment","Text - multi-line"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
